LABEL	ACCESSION	COUNTRY	CONTINENT	STATE1	STATE2	REGION	YEAR
MH760589/AUS/NSW/WM3629A/07-Jun-2016	MH760589	AUS	Oceania	NSW	Oceania	NSW	2016
KX765925/NZL/Christchurch/LJRSV13/09-Jul-2015	KX765925	NZL	Oceania	Other	Oceania	Christchurch	2015
KX765886/NZL/Christchurch/LJRSV01/18-Jun-2015	KX765886	NZL	Oceania	Other	Oceania	Christchurch	2015
KJ672469/USA/Tennessee/LA2-44/08-Feb-2013	KJ672469	USA	America	Other	America	Tennessee	2013
MH279547/CHN/Region/LZ170020448/XX-Nov-2017	MH279547	CHN	Asia	Other	Asia	Region	2017
KJ672453/USA/Tennessee/LA2-48/10-Jan-2013	KJ672453	USA	America	Other	America	Tennessee	2013
KU950460/USA/Tennessee/TH-10473/05-Dec-2013	KU950460	USA	America	Other	America	Tennessee	2013
MH760626/AUS/NSW/WM2841A/03-Aug-2016	MH760626	AUS	Oceania	NSW	Oceania	NSW	2016
KX765904/NZL/Christchurch/LJRSV39/18-Jun-2013	KX765904	NZL	Oceania	Other	Oceania	Christchurch	2013
KJ672440/USA/Tennessee/LA2-22/23-Nov-2012	KJ672440	USA	America	Other	America	Tennessee	2012
MH760649/AUS/NSW/WM1676B/30-Jun-2015	MH760649	AUS	Oceania	NSW	Oceania	NSW	2015
KM042392/USA/Tennessee/LA2-56/22-Feb-2013	KM042392	USA	America	Other	America	Tennessee	2013
MG839543/ARG/BuenosAires/012/10-Jun-2015	MG839543	ARG	America	Other	America	BuenosAires	2015
MW160762/AUS/WA/PW7202552D/09-Jan-2017	MW160762	AUS	Oceania	WA	WA	Perth	2017
MH760615/AUS/NSW/WM1339A/30-Sep-2016	MH760615	AUS	Oceania	NSW	Oceania	NSW	2016
KX765915/NZL/Christchurch/LJRSV27/11-Jun-2014	KX765915	NZL	Oceania	Other	Oceania	Christchurch	2014
MH760627/AUS/NSW/WM1045A/06-Aug-2016	MH760627	AUS	Oceania	NSW	Oceania	NSW	2016
KU950592/USA/Tennessee/TH-10138/27-Aug-2012	KU950592	USA	America	Other	America	Tennessee	2012
KU950694/USA/Tennessee/TH-10233/22-Oct-2012	KU950694	USA	America	Other	America	Tennessee	2012
KU950673/USA/Tennessee/10236/12-Sep-2012	KU950673	USA	America	Other	America	Tennessee	2012
MW160764/AUS/WA/PW7225866R/03-Mar-2017	MW160764	AUS	Oceania	WA	WA	Perth	2017
MW160746/AUS/WA/PW3613237Z/31-May-2016	MW160746	AUS	Oceania	WA	WA	Perth	2016
KU950698/USA/Tennessee/TH-10454/20-Nov-2013	KU950698	USA	America	Other	America	Tennessee	2013
KX765887/NZL/Christchurch/LJRSV05/28-Jun-2015	KX765887	NZL	Oceania	Other	Oceania	Christchurch	2015
KU950654/USA/Tennessee/TH-10065/11-Sep-2012	KU950654	USA	America	Other	America	Tennessee	2012
KJ672482/USA/Tennessee/LA2-41/28-Dec-2012	KJ672482	USA	America	Other	America	Tennessee	2012
KC731482/IND/Region/NIV1114046/XX-XXX-2011	KC731482	IND	Asia	Other	Asia	Region	2011
MH760639/AUS/NSW/WM4313A/19-Sep-2016	MH760639	AUS	Oceania	NSW	Oceania	NSW	2016
MW160768/AUS/WA/PW3128479T/11-Apr-2017	MW160768	AUS	Oceania	WA	WA	Perth	2017
KX765974/NZL/Christchurch/LJRSV35/30-Apr-2013	KX765974	NZL	Oceania	Other	Oceania	Christchurch	2013
KX765926/NZL/Christchurch/LJRSV59/05-Aug-2012	KX765926	NZL	Oceania	Other	Oceania	Christchurch	2012
KU950531/USA/Tennessee/TH-10523/19-Aug-2013	KU950531	USA	America	Other	America	Tennessee	2013
MH760630/AUS/NSW/WM0778A/30-Jul-2016	MH760630	AUS	Oceania	NSW	Oceania	NSW	2016
KU950474/USA/Tennessee/TH-10098/16-Oct-2012	KU950474	USA	America	Other	America	Tennessee	2012
KU950528/USA/Tennessee/TH-10217/14-Jan-2013	KU950528	USA	America	Other	America	Tennessee	2013
KX765898/NZL/Christchurch/LJRSV12/08-Jul-2015	KX765898	NZL	Oceania	Other	Oceania	Christchurch	2015
KU950493/USA/Tennessee/TH-10126/12-Sep-2012	KU950493	USA	America	Other	America	Tennessee	2012
KJ672463/USA/Tennessee/LA2-31/08-Jan-2013	KJ672463	USA	America	Other	America	Tennessee	2013
KY982517/USA/Tennessee/LA2_03/03-Jan-2013	KY982517	USA	America	Other	America	Tennessee	2013
KU950468/USA/Tennessee/TH-10632/05-Nov-2013	KU950468	USA	America	Other	America	Tennessee	2013
KU950653/USA/Tennessee/TH-10204/06-Dec-2012	KU950653	USA	America	Other	America	Tennessee	2012
KX655640/JOR/Amman/D3681/16-Jan-2013	KX655640	JOR	Asia	Other	Asia	Amman	2013
KX655644/JOR/Amman/A0614/23-Oct-2012	KX655644	JOR	Asia	Other	Asia	Amman	2012
KU950649/USA/Tennessee/TH-11186/16-Aug-2012	KU950649	USA	America	Other	America	Tennessee	2012
KX765970/NZL/Christchurch/LJRSV31/27-Jun-2014	KX765970	NZL	Oceania	Other	Oceania	Christchurch	2014
MW160803/AUS/WA/PW9322831X/11-Oct-2016	MW160803	AUS	Oceania	WA	WA	Perth	2016
KX765932/NZL/Christchurch/LJRSV06/28-Jun-2015	KX765932	NZL	Oceania	Other	Oceania	Christchurch	2015
KU950572/USA/Tennessee/TH-10209/28-Sep-2012	KU950572	USA	America	Other	America	Tennessee	2012
MH760616/AUS/NSW/WM0371A/02-Oct-2016	MH760616	AUS	Oceania	NSW	Oceania	NSW	2016
MW160766/AUS/WA/PW9201364H/30-Jun-2016	MW160766	AUS	Oceania	WA	WA	Perth	2016
KU950671/USA/Tennessee/TH-10344/08-Nov-2012	KU950671	USA	America	Other	America	Tennessee	2012
KJ672450/USA/Tennessee/LA2-46/31-Jan-2013	KJ672450	USA	America	Other	America	Tennessee	2013
MW160747/AUS/WA/PW3618198U/24-Jul-2016	MW160747	AUS	Oceania	WA	WA	Perth	2016
MW160773/AUS/WA/PW7245902W/18-Apr-2017	MW160773	AUS	Oceania	WA	WA	Perth	2017
MW160827/AUS/NSW/WM1024481/12-Apr-2017	MW160827	AUS	Oceania	NSW	Oceania	NSW	2017
MH760608/AUS/NSW/WM1112A/27-Oct-2016	MH760608	AUS	Oceania	NSW	Oceania	NSW	2016
MH760621/AUS/NSW/WM4241A/21-Sep-2016	MH760621	AUS	Oceania	NSW	Oceania	NSW	2016
KJ627264/PER/Lima/IPE01270/16-May-2012	KJ627264	PER	America	Other	America	Lima	2012
KU839626/USA/Tennessee/TH-32/05-Nov-2013	KU839626	USA	America	Other	America	Tennessee	2013
KJ672424/USA/Tennessee/LA2/28-Dec-2012	KJ672424	USA	America	Other	America	Tennessee	2012
MH760614/AUS/NSW/WM0620A/02-Oct-2016	MH760614	AUS	Oceania	NSW	Oceania	NSW	2016
KM042389/USA/Tennessee/LA2-10/13-Dec-2012	KM042389	USA	America	Other	America	Tennessee	2012
MH760591/AUS/NSW/WM1734B/04-Jan-2016	MH760591	AUS	Oceania	NSW	Oceania	NSW	2016
KU950541/USA/Tennessee/TH-10318/04-Jan-2013	KU950541	USA	America	Other	America	Tennessee	2013
KU950639/USA/Tennessee/10398/18-Oct-2013	KU950639	USA	America	Other	America	Tennessee	2013
KU950540/USA/Tennessee/TH-10323/26-Nov-2013	KU950540	USA	America	Other	America	Tennessee	2013
MH290724/CHN/Region/LZ170020467/XX-Nov-2017	MH290724	CHN	Asia	Other	Asia	Region	2017
KU950537/USA/Tennessee/TH-10505/08-Jan-2014	KU950537	USA	America	Other	America	Tennessee	2014
KU950680/USA/Tennessee/TH-10195/29-Nov-2012	KU950680	USA	America	Other	America	Tennessee	2012
KJ672429/USA/Tennessee/LA2-69/12-Feb-2013	KJ672429	USA	America	Other	America	Tennessee	2013
KU950554/USA/Tennessee/TH-10143/02-Nov-2012	KU950554	USA	America	Other	America	Tennessee	2012
MH760635/AUS/NSW/WM1670A/31-Jul-2016	MH760635	AUS	Oceania	NSW	Oceania	NSW	2016
KU950692/USA/Tennessee/TH-10327/26-Sep-2012	KU950692	USA	America	Other	America	Tennessee	2012
KJ672448/USA/Tennessee/LA2-74/08-Mar-2013	KJ672448	USA	America	Other	America	Tennessee	2013
KU950502/USA/Tennessee/TH-10155/24-Sep-2012	KU950502	USA	America	Other	America	Tennessee	2012
KU950655/USA/Tennessee/TH-10293/27-Dec-2012	KU950655	USA	America	Other	America	Tennessee	2012
KU950520/USA/Tennessee/TH-10531/20-Jun-2013	KU950520	USA	America	Other	America	Tennessee	2013
KU950683/USA/Tennessee/10414/28-Sep-2013	KU950683	USA	America	Other	America	Tennessee	2013
MW160767/AUS/WA/PW3812552D/07-May-2017	MW160767	AUS	Oceania	WA	WA	Perth	2017
KU950645/USA/Tennessee/TH-10202/17-Jan-2013	KU950645	USA	America	Other	America	Tennessee	2013
MW160779/AUS/WA/PW4161683B/18-Apr-2017	MW160779	AUS	Oceania	WA	WA	Perth	2017
MW160819/AUS/NSW/WM1061759/16-Apr-2017	MW160819	AUS	Oceania	NSW	Oceania	NSW	2017
MG773269/ARG/BuenosAires/009/27-Jun-2016	MG773269	ARG	America	Other	America	BuenosAires	2016
MH760648/AUS/NSW/WM2866A/09-Jul-2015	MH760648	AUS	Oceania	NSW	Oceania	NSW	2015
KX765941/NZL/Christchurch/LJRSV04/24-Jun-2015	KX765941	NZL	Oceania	Other	Oceania	Christchurch	2015
KU950620/USA/Tennessee/TH-10196/04-Oct-2012	KU950620	USA	America	Other	America	Tennessee	2012
MF614946/CHN/Beijing/40180/DD-Nov-2012	MF614946	CHN	Asia	Other	Asia	Beijing	2012
KJ672472/USA/Tennessee/LA2-15/05-Dec-2012	KJ672472	USA	America	Other	America	Tennessee	2012
KX894805/USA/Tennessee/TH-10293P/04-Mar-2013	KX894805	USA	America	Other	America	Tennessee	2013
KJ672477/USA/Tennessee/LA2-33/20-Dec-2012	KJ672477	USA	America	Other	America	Tennessee	2012
MH760629/AUS/NSW/WM1991A/04-Aug-2016	MH760629	AUS	Oceania	NSW	Oceania	NSW	2016
KU950523/USA/Tennessee/TH-10656/26-Mar-2014	KU950523	USA	America	Other	America	Tennessee	2014
KU950617/USA/Tennessee/TH-10229/19-Dec-2012	KU950617	USA	America	Other	America	Tennessee	2012
KY654517/PHL/Region/TOp-13-203/10-Jun-2013	KY654517	PHL	Asia	Other	Asia	Region	2013
KU950631/USA/Tennessee/TH-10093/21-Sep-2012	KU950631	USA	America	Other	America	Tennessee	2012
KX765955/NZL/Christchurch/LJRSV09/07-Jul-2015	KX765955	NZL	Oceania	Other	Oceania	Christchurch	2015
KU950509/USA/Tennessee/TH-10221/11-Dec-2012	KU950509	USA	America	Other	America	Tennessee	2012
MW160801/AUS/WA/PW7344936K/15-Dec-2016	MW160801	AUS	Oceania	WA	WA	Perth	2016
MW160761/AUS/WA/PW6361561S/31-Mar-2017	MW160761	AUS	Oceania	WA	WA	Perth	2017
MH760650/AUS/NSW/WM4539A/01-July-2015	MH760650	AUS	Oceania	NSW	Oceania	NSW	2015
KX765940/NZL/Christchurch/LJRSV47/26-Aug-2013	KX765940	NZL	Oceania	Other	Oceania	Christchurch	2013
MH760646/AUS/NSW/WM0644C/19-Aug-2014	MH760646	AUS	Oceania	NSW	Oceania	NSW	2014
KU950667/USA/Tennessee/TH-10104/05-Oct-2012	KU950667	USA	America	Other	America	Tennessee	2012
KM042381/USA/Tennessee/LA2-92/10-Jan-2013	KM042381	USA	America	Other	America	Tennessee	2013
KU950563/USA/Tennessee/TH-10175/29-Oct-2012	KU950563	USA	America	Other	America	Tennessee	2012
KU950455/USA/Tennessee/10477/24-Sep-2013	KU950455	USA	America	Other	America	Tennessee	2013
KU950483/USA/Tennessee/TH-10534/20-Aug-2013	KU950483	USA	America	Other	America	Tennessee	2013
KJ672444/USA/Tennessee/LA2-11/13-Dec-2012	KJ672444	USA	America	Other	America	Tennessee	2012
KU950556/USA/Tennessee/TH-10305/04-Dec-2012	KU950556	USA	America	Other	America	Tennessee	2012
KX765977/NZL/Christchurch/LJRSV18/12-Feb-2014	KX765977	NZL	Oceania	Other	Oceania	Christchurch	2014
MW160753/AUS/WA/PW3610621L/01-May-2016	MW160753	AUS	Oceania	WA	WA	Perth	2016
KU950538/USA/Tennessee/TH-10201/25-Oct-2012	KU950538	USA	America	Other	America	Tennessee	2012
KX894806/USA/Tennessee/LA2/09-Mar-2013	KX894806	USA	America	Other	America	Tennessee	2013
KU839637/USA/Tennessee/TH-24/03-Feb-2014	KU839637	USA	America	Other	America	Tennessee	2014
MG793382/LBN/Region/14LJF289/01-Feb-2015	MG793382	LBN	Asia	Other	Asia	Region	2015
KX765954/NZL/Christchurch/LJRSV36/08-May-2013	KX765954	NZL	Oceania	Other	Oceania	Christchurch	2013
KX894804/USA/Tennessee/TH-10255P/08-Feb-2013	KX894804	USA	America	Other	America	Tennessee	2013
KU950464/USA/Tennessee/TH-10654/19-Feb-2014	KU950464	USA	America	Other	America	Tennessee	2014
KJ672437/USA/Tennessee/LA2-99/11-Jan-2013	KJ672437	USA	America	Other	America	Tennessee	2013
KU950518/USA/Tennessee/TH-10536/09-Oct-2013	KU950518	USA	America	Other	America	Tennessee	2013
KJ672434/USA/Tennessee/LA2-53/24-Jan-2013	KJ672434	USA	America	Other	America	Tennessee	2013
KX765902/NZL/Christchurch/LJRSV33/30-Jul-2014	KX765902	NZL	Oceania	Other	Oceania	Christchurch	2014
KU950492/USA/Tennessee/TH-10166/03-Oct-2012	KU950492	USA	America	Other	America	Tennessee	2012
KU950674/USA/Tennessee/TH-10311/31-Oct-2012	KU950674	USA	America	Other	America	Tennessee	2012
KX765916/NZL/Christchurch/LJRSV02/19-Jun-2015	KX765916	NZL	Oceania	Other	Oceania	Christchurch	2015
KJ672471/USA/Tennessee/LA2-85/01-Mar-2013	KJ672471	USA	America	Other	America	Tennessee	2013
MH760625/AUS/NSW/WM1079A/14-Aug-2016	MH760625	AUS	Oceania	NSW	Oceania	NSW	2016
