LABEL	ACCESSION	COUNTRY	CONTINENT	STATE1	STATE2	REGION	YEAR
KX655664/JOR/Amman/A0656/27-Dec-2012	KX655664	JOR	Asia	Other	Asia	Amman	2012
KX655671/JOR/Amman/A0714/31-Jan-2013	KX655671	JOR	Asia	Other	Asia	Amman	2013
KX655648/JOR/Amman/C2678/15-Jan-2013	KX655648	JOR	Asia	Other	Asia	Amman	2013
KX655653/JOR/Amman/C2706/05-Feb-2013	KX655653	JOR	Asia	Other	Asia	Amman	2013
KX655681/JOR/Amman/A0767/13-Mar-2013	KX655681	JOR	Asia	Other	Asia	Amman	2013
KY883568/ARG/BuenosAires/002/23-Feb-2015	KY883568	ARG	America	Other	America	BuenosAires	2015
MG773266/ARG/BuenosAires/006/13-May-2016	MG773266	ARG	America	Other	America	BuenosAires	2016
KY883570/ARG/BuenosAires/004/21-May-2015	KY883570	ARG	America	Other	America	BuenosAires	2015
MG773270/ARG/BuenosAires/010/05-Jul-2016	MG773270	ARG	America	Other	America	BuenosAires	2016
MG839547/ARG/BuenosAires/016/12-Jul-2016	MG839547	ARG	America	Other	America	BuenosAires	2016
MG839545/ARG/BuenosAires/014/03-May-2016	MG839545	ARG	America	Other	America	BuenosAires	2016
KX765895/NZL/Christchurch/LJRSV22/31-May-2014	KX765895	NZL	Oceania	Other	Oceania	Christchurch	2014
KX765935/NZL/Christchurch/LJRSV07/29-Jun-2015	KX765935	NZL	Oceania	Other	Oceania	Christchurch	2015
KX765961/NZL/Christchurch/LJRSV16/10-Jul-2015	KX765961	NZL	Oceania	Other	Oceania	Christchurch	2015
KX765959/NZL/Christchurch/LJRSV51/08-Sep-2013	KX765959	NZL	Oceania	Other	Oceania	Christchurch	2013
KX765912/NZL/Christchurch/LJRSV23/04-Jun-2014	KX765912	NZL	Oceania	Other	Oceania	Christchurch	2014
KX765929/NZL/Christchurch/LJRSV29/19-Jun-2014	KX765929	NZL	Oceania	Other	Oceania	Christchurch	2014
KX765962/NZL/Christchurch/LJRSV50/03-Sep-2013	KX765962	NZL	Oceania	Other	Oceania	Christchurch	2013
KX765892/NZL/Christchurch/LJRSV21/30-May-2014	KX765892	NZL	Oceania	Other	Oceania	Christchurch	2014
KX765957/NZL/Christchurch/LJRSV30/22-Jun-2014	KX765957	NZL	Oceania	Other	Oceania	Christchurch	2014
KX765947/NZL/Christchurch/LJRSV19/30-Apr-2014	KX765947	NZL	Oceania	Other	Oceania	Christchurch	2014
KX765975/NZL/Christchurch/LJRSV82/17-Sep-2011	KX765975	NZL	Oceania	Other	Oceania	Christchurch	2011
KX765899/NZL/Christchurch/LJRSV89/09-Aug-2010	KX765899	NZL	Oceania	Other	Oceania	Christchurch	2010
KX765905/NZL/Christchurch/LJRSV32/28-Jun-2014	KX765905	NZL	Oceania	Other	Oceania	Christchurch	2014
KX765966/NZL/Christchurch/LJRSV24/04-Jun-2014	KX765966	NZL	Oceania	Other	Oceania	Christchurch	2014
KX765906/NZL/Christchurch/LJRSV10/08-Jul-2015	KX765906	NZL	Oceania	Other	Oceania	Christchurch	2015
KX765897/NZL/Christchurch/LJRSV43/27-Jul-2013	KX765897	NZL	Oceania	Other	Oceania	Christchurch	2013
KX765921/NZL/Christchurch/LJRSV26/08-Jun-2014	KX765921	NZL	Oceania	Other	Oceania	Christchurch	2014
KY249670/GBR/England/783/04-Dec-2012	KY249670	GBR	Europe	Other	Europe	England	2012
KY249665/GBR/England/617/09-Oct-2013	KY249665	GBR	Europe	Other	Europe	England	2013
KY249673/GBR/England/537/19-Nov-2012	KY249673	GBR	Europe	Other	Europe	England	2012
KY249656/GBR/England/136/07-Jan-2014	KY249656	GBR	Europe	Other	Europe	England	2014
KY249677/GBR/England/132/06-Jan-2012	KY249677	GBR	Europe	Other	Europe	England	2012
KY249667/GBR/England/313/21-Dec-2012	KY249667	GBR	Europe	Other	Europe	England	2012
KY249682/GBR/England/136/10-Jan-2016	KY249682	GBR	Europe	Other	Europe	England	2016
KY249664/GBR/England/135/12-Nov-2013	KY249664	GBR	Europe	Other	Europe	England	2013
KY249681/GBR/England/138/05-Jan-2016	KY249681	GBR	Europe	Other	Europe	England	2016
KY249657/GBR/England/263/03-Jan-2014	KY249657	GBR	Europe	Other	Europe	England	2014
KY249660/GBR/England/583/18-Dec-2013	KY249660	GBR	Europe	Other	Europe	England	2013
KY249683/GBR/England/133/04-Jan-2016	KY249683	GBR	Europe	Other	Europe	England	2016
KY249678/GBR/England/122/28-Dec-2011	KY249678	GBR	Europe	Other	Europe	England	2011
KM517573/CHN/Guangzhou/13-730/30-Jul-2013	KM517573	CHN	Asia	Other	Asia	Guangzhou	2013
KJ627278/PER/Lima/FLE8323/10-Mar-2010	KJ627278	PER	America	Other	America	Lima	2010
KJ627330/PER/Loreto/FLA3500/15-Jul-2008	KJ627330	PER	America	Other	America	Loreto	2008
KF826834/ITA/Pavia/126/02-Feb-2009	KF826834	ITA	Europe	Other	Europe	Pavia	2009
KF826857/ITA/Pavia/129/18-Feb-2009	KF826857	ITA	Europe	Other	Europe	Pavia	2009
KF826835/ITA/Pavia/127/03-Feb-2009	KF826835	ITA	Europe	Other	Europe	Pavia	2009
MW160796/AUS/WA/PW2043901J/14-Oct-2016	MW160796	AUS	Oceania	WA	WA	Perth	2016
MW160777/AUS/WA/PW2554154M/21-Jan-2017	MW160777	AUS	Oceania	WA	WA	Perth	2017
MW160770/AUS/WA/PW6353220F/27-Jan-2017	MW160770	AUS	Oceania	WA	WA	Perth	2017
MW160792/AUS/WA/PW7348101Z/23-Dec-2016	MW160792	AUS	Oceania	WA	WA	Perth	2016
MW160788/AUS/WA/PW2600107S/05-Sep-2016	MW160788	AUS	Oceania	WA	WA	Perth	2016
MW160804/AUS/WA/PW2553843L/01-Aug-2016	MW160804	AUS	Oceania	WA	WA	Perth	2016
MW160744/AUS/WA/PW3543798D/03-May-2016	MW160744	AUS	Oceania	WA	WA	Perth	2016
MW160794/AUS/WA/PW7817624N/16-Dec-2016	MW160794	AUS	Oceania	WA	WA	Perth	2016
MW160791/AUS/WA/PW3560571K/15-Aug-2016	MW160791	AUS	Oceania	WA	WA	Perth	2016
MW160798/AUS/WA/PW3559149Y/05-Aug-2016	MW160798	AUS	Oceania	WA	WA	Perth	2016
MW160755/AUS/WA/PW7260036G/19-May-2016	MW160755	AUS	Oceania	WA	WA	Perth	2016
MW160750/AUS/WA/PW9238895B/01-Aug-2016	MW160750	AUS	Oceania	WA	WA	Perth	2016
MW160765/AUS/WA/PW7235509D/25-Mar-2017	MW160765	AUS	Oceania	WA	WA	Perth	2017
MW160790/AUS/WA/PW3555072N/11-Jul-2016	MW160790	AUS	Oceania	WA	WA	Perth	2016
MW160793/AUS/WA/PW7409249P/21-Dec-2016	MW160793	AUS	Oceania	WA	WA	Perth	2016
MW160745/AUS/WA/PW3557347X/26-Jul-2016	MW160745	AUS	Oceania	WA	WA	Perth	2016
MW160789/AUS/WA/PW3544838G/09-May-2016	MW160789	AUS	Oceania	WA	WA	Perth	2016
MW160806/AUS/WA/PW7406109Y/10-Nov-2016	MW160806	AUS	Oceania	WA	WA	Perth	2016
MW160751/AUS/WA/PW3355272F/05-May-2016	MW160751	AUS	Oceania	WA	WA	Perth	2016
MW160784/AUS/WA/PW7265596Y/27-May-2017	MW160784	AUS	Oceania	WA	WA	Perth	2017
MW160800/AUS/WA/PW4347673P/16-Dec-2016	MW160800	AUS	Oceania	WA	WA	Perth	2016
MW160802/AUS/WA/PW7406241D/13-Nov-2016	MW160802	AUS	Oceania	WA	WA	Perth	2016
MW160775/AUS/WA/PW9109931Q/03-Apr-2017	MW160775	AUS	Oceania	WA	WA	Perth	2017
MW160752/AUS/WA/PW3370594R/15-Jul-2016	MW160752	AUS	Oceania	WA	WA	Perth	2016
MW160805/AUS/WA/PW2600305F/17-Oct-2016	MW160805	AUS	Oceania	WA	WA	Perth	2016
MW160763/AUS/WA/PW7204949Y/14-Jan-2017	MW160763	AUS	Oceania	WA	WA	Perth	2017
MW160786/AUS/WA/PW9161683K/16-May-2017	MW160786	AUS	Oceania	WA	WA	Perth	2017
MW160748/AUS/WA/PW7259741Y/20-May-2016	MW160748	AUS	Oceania	WA	WA	Perth	2016
MW160780/AUS/WA/PW7221374C/21-Feb-2017	MW160780	AUS	Oceania	WA	WA	Perth	2017
MW160781/AUS/WA/PW7224271D/27-Feb-2017	MW160781	AUS	Oceania	WA	WA	Perth	2017
MW160760/AUS/WA/PW3658371J/09-Apr-2016	MW160760	AUS	Oceania	WA	WA	Perth	2016
MW160757/AUS/WA/PW2019131R/10-Feb-2016	MW160757	AUS	Oceania	WA	WA	Perth	2016
KJ627341/PER/Piura/FPP00386/04-Apr-2011	KJ627341	PER	America	Other	America	Piura	2011
KJ627359/PER/Piura/FPP00418/13-Apr-2011	KJ627359	PER	America	Other	America	Piura	2011
KJ627251/PER/Piura/FPP01361/10-Mar-2012	KJ627251	PER	America	Other	America	Piura	2012
KJ627348/PER/Piura/FPP00589/02-Jun-2011	KJ627348	PER	America	Other	America	Piura	2011
KJ627364/PER/Piura/FPP00530/12-May-2011	KJ627364	PER	America	Other	America	Piura	2011
KJ627254/PER/Piura/FPP00618/13-Jun-2011	KJ627254	PER	America	Other	America	Piura	2011
KJ939933/VNM/Region/817-8/16-Aug-2010	KJ939933	VNM	America	Other	America	Region	2010
KJ939920/VNM/Region/135-8/17-Aug-2009	KJ939920	VNM	America	Other	America	Region	2009
KJ939929/VNM/Region/382-7/07-Jul-2010	KJ939929	VNM	America	Other	America	Region	2010
LC385005/PHL/Region/TB5_CA-14-0525_6/08-Sep-2014	LC385005	PHL	Asia	Other	Asia	Region	2014
LC385001/PHL/Region/TB8_KW-14-0284_3/06-Aug-2014	LC385001	PHL	Asia	Other	Asia	Region	2014
LC384998/PHL/Region/TB5_CA-15-0741_1/19-Oct-2015	LC384998	PHL	Asia	Other	Asia	Region	2015
LC385007/PHL/Region/TB6_CA-15-0412_7/16-Oct-2015	LC385007	PHL	Asia	Other	Asia	Region	2015
LC385003/PHL/Region/TB5_CA-15-0849_5/16-Nov-2015	LC385003	PHL	Asia	Other	Asia	Region	2015
KP663729/KOR/Region/GW0047/14-Jan-2014	KP663729	KOR	Asia	Other	Asia	Region	2014
LC385004/PHL/Region/TB5_CA-17-0073_5/30-Jan-2017	LC385004	PHL	Asia	Other	Asia	Region	2017
LC385002/PHL/Region/TB9_KW-15-0377_3/13-Oct-2015	LC385002	PHL	Asia	Other	Asia	Region	2015
KP663730/KOR/Region/IC0027/13-Jan-2014	KP663730	KOR	Asia	Other	Asia	Region	2014
LC384997/PHL/Region/TB5_CA-14-0368_1/30-Jul-2014	LC384997	PHL	Asia	Other	Asia	Region	2014
LC385000/PHL/Region/TB5_CA-15-0711_2/12-Oct-2015	LC385000	PHL	Asia	Other	Asia	Region	2015
LC385006/PHL/Region/TB5_CA-16-0946_6/19-Dec-2016	LC385006	PHL	Asia	Other	Asia	Region	2016
LC385008/PHL/Region/TB5_CA-16-0893_7/05-Dec-2016	LC385008	PHL	Asia	Other	Asia	Region	2016
LC384999/PHL/Region/TB5_CA-14-0377_2/31-Jul-2014	LC384999	PHL	Asia	Other	Asia	Region	2014
JX576749/NLD/Region/07-038176/23-Nov-2007	JX576749	NLD	Europe	Other	Europe	Region	2007
JX576743/NLD/Region/09-052064/18-Dec-2009	JX576743	NLD	Europe	Other	Europe	Region	2009
JX576748/NLD/Region/07-038682/27-Nov-2007	JX576748	NLD	Europe	Other	Europe	Region	2007
JX576744/NLD/Region/08-046532/22-Dec-2008	JX576744	NLD	Europe	Other	Europe	Region	2008
JX576740/NLD/Region/09-053157/28-Dec-2009	JX576740	NLD	Europe	Other	Europe	Region	2009
KU950607/USA/Tennessee/TH-10503/06-Dec-2013	KU950607	USA	America	Other	America	Tennessee	2013
KU839625/USA/Tennessee/TH-40/02-Jan-2014	KU839625	USA	America	Other	America	Tennessee	2014
KU950635/USA/Tennessee/TH-10662/18-Nov-2013	KU950635	USA	America	Other	America	Tennessee	2013
KU950569/USA/Tennessee/TH-10307/04-Mar-2013	KU950569	USA	America	Other	America	Tennessee	2013
KU950604/USA/Tennessee/TH-10551/19-Jun-2013	KU950604	USA	America	Other	America	Tennessee	2013
KU950682/USA/Tennessee/TH-10264/15-Aug-2012	KU950682	USA	America	Other	America	Tennessee	2012
KU950611/USA/Tennessee/TH-10400/14-Oct-2013	KU950611	USA	America	Other	America	Tennessee	2013
KU950458/USA/Tennessee/TH-10561/16-Dec-2013	KU950458	USA	America	Other	America	Tennessee	2013
KU950587/USA/Tennessee/TH-10484/13-Nov-2013	KU950587	USA	America	Other	America	Tennessee	2013
KU950467/USA/Tennessee/TH-10526/15-Jan-2014	KU950467	USA	America	Other	America	Tennessee	2014
KU950637/USA/Tennessee/TH-10590/04-Feb-2014	KU950637	USA	America	Other	America	Tennessee	2014
KU950603/USA/Tennessee/TH-10557/19-Sep-2013	KU950603	USA	America	Other	America	Tennessee	2013
LC324679/JPN/Tokyo/31170262/XX-XXX-2017	LC324679	JPN	Asia	Other	Asia	Tokyo	2017
LC324678/JPN/Tokyo/31170136/XX-XXX-2017	LC324678	JPN	Asia	Other	Asia	Tokyo	2017
MF001058/USA/Washington/SC2935/XX-XXX-2015	MF001058	USA	America	Other	America	Washington	2015
KY674984/USA/Washington/16B7/XX-XXX-2016	KY674984	USA	America	Other	America	Washington	2016
MH760674/AUS/NSW/WM1775A/08-Nov-2016	MH760674	AUS	Oceania	NSW	NSW	Westmead	2016
MH760704/AUS/NSW/WM0688A/08-Aug-2016	MH760704	AUS	Oceania	NSW	NSW	Westmead	2016
MH760706/AUS/NSW/WM4671A/05-Aug-2016	MH760706	AUS	Oceania	NSW	NSW	Westmead	2016
MH760702/AUS/NSW/WM1189A/12-Aug-2016	MH760702	AUS	Oceania	NSW	NSW	Westmead	2016
MH760731/AUS/NSW/WM1819A/08-Jul-2015	MH760731	AUS	Oceania	NSW	NSW	Westmead	2015
MH760695/AUS/NSW/WM1846B/22-Sep-2016	MH760695	AUS	Oceania	NSW	NSW	Westmead	2016
MH760720/AUS/NSW/WM0239A/19-Sep-2016	MH760720	AUS	Oceania	NSW	NSW	Westmead	2016
MH760659/AUS/NSW/WM1260A/23-Sep-2011	MH760659	AUS	Oceania	NSW	NSW	Westmead	2011
MH760672/AUS/NSW/WM0307A/13-Nov-2016	MH760672	AUS	Oceania	NSW	NSW	Westmead	2016
MH760721/AUS/NSW/WM1959B/14-Sep-2016	MH760721	AUS	Oceania	NSW	NSW	Westmead	2016
MH760703/AUS/NSW/WM2459A/13-Aug-2016	MH760703	AUS	Oceania	NSW	NSW	Westmead	2016
MW160816/AUS/NSW/WM0880182/29-Mar-2017	MW160816	AUS	Oceania	NSW	NSW	Westmead	2017
MH760712/AUS/NSW/WM1942A/02-Aug-2016	MH760712	AUS	Oceania	NSW	NSW	Westmead	2016
